P1,P2,P3,P4,P5,C ,D 
32.32,253.51,4.2,2014,1,230075.12,61
40.8,904.8,10.4,2014,1,342852.58,75
35.36,404,4.04,2014,1,233197.88,64
34.34,511.68,5.2,2014,1,276312.52,65
34.68,468,5.2,2014,1,277448.6,66
69.36,670.64,7.07,2014,1,343897.18,68
24.96,779,4.04,2014,1,334856.5,71
52,1100,13,2014,1,433916.34,81
30.45,465.92,7,2014,1,300770.58,64
36,780,8.4,2014,1,341279.4,74
27.81,299,6.3,2014,1,241887.36,65
49.35,728,6.24,2014,1,319449.9,71
23.69,795,5.15,2014,1,335458.2,70
31.2,786.79,3,2014,1,329243.2,71
26.2,593.88,3.15,2014,1,288719.2,67
24.48,540.6,8.08,2011,1,281127.36,78
37.74,680.74,9.36,2012,1,286047.9232,87
38.11,765,6.06,2011,1,244197.723,74
42.64,321,5.1,2014,1,239070.1,62
62.62,1123.73,10,2015,1,515120.716,79
76.76,1326,12,2014,1,535369.12,83
78.28,1365,12.12,2014,1,566255.8,85
51.5,1040.4,9,2010,1,303776.8272,77
52.5,1313.25,12.48,2010,1,390530.217,87
71,984.68,9,2010,1,371166.3924,98
73.84,988.8,9.18,2014,1,429675.84,76
45.15,800,8.24,2010,1,307946.7346,93
45.15,1285,2,2014,1,452928.96,82
38.11,437.85,7.28,2010,1,208784.0694,72
38.48,999.44,1.02,2014,1,241464.96,77
52.52,1448.72,13.13,2014,1,540448.48,89
47.84,485.13,7.21,2015,1,315214.196,64
89.76,1127.85,6.24,2014,1,427442.4,106
88.88,1105.95,15.45,2014,1,417630.72,83
62,1290,13.52,2015,1,580684.324,86
55.12,592.8,9.09,2014,1,337868.84,80
45.45,1001.92,9.27,2014,1,453490.8,95
43.05,867,8.4,2014,1,432300.24,89
56.56,728,9.18,2015,1,402462.112,86
57.12,756,9.27,2012,1,328408.0976,73
36.75,377,6,2012,1,210766.5516,66
51,310,7.21,2015,1,316948.28,68
29.12,294,5,2013,1,205059.492,63
28.84,280,5.15,2015,1,270480.012,62
28.35,481.77,5.05,2010,1,190562.4996,65
